in;in;in;in;in;in;in;in;in;in;in;in;out
1;1;1;2;2;1;2;3;2;1;1;2;0.4
1;1;1;3;3;1;2;3;2;1;1;2;0.4
1;1;1;3;2;1;2;3;2;1;1;2;0.4
1;1;1;2;3;1;2;3;1;1;1;2;0.4
1;1;1;2;2;1;2;3;1;1;1;2;0.4
1;1;1;3;3;1;2;3;1;1;1;2;0.4
1;1;1;3;2;1;2;3;1;1;1;2;0.4
1;1;1;2;3;1;2;3;2;1;1;1;0.4
1;1;1;2;2;1;2;3;2;1;1;1;0.4
1;1;1;3;3;1;2;3;2;1;1;1;0.4
1;1;1;3;2;1;2;3;2;1;1;1;0.4
1;1;1;2;3;1;2;3;1;1;1;1;0.4
1;1;1;2;2;1;2;3;1;1;1;1;0.4
1;1;1;3;3;1;2;3;1;1;1;1;0.4
1;1;1;3;2;1;2;3;1;1;1;1;0.4
3;3;1;3;1;1;2;1;2;1;1;2;0.5
3;3;1;3;1;1;1;1;2;1;1;2;0.5
3;2;1;3;1;1;2;1;2;1;1;2;0.5
3;2;1;3;1;1;1;1;2;1;1;2;0.5
2;3;1;3;1;1;2;1;2;1;1;2;0.5
2;3;1;3;1;1;1;1;2;1;1;2;0.5
2;2;1;3;1;1;2;1;2;1;1;2;0.5
2;2;1;3;1;1;1;1;2;1;1;2;0.5
1;1;1;1;3;1;2;3;1;3;1;1;0.6
1;1;1;1;2;1;2;3;1;3;1;1;0.6
1;1;1;1;3;1;1;3;1;3;1;1;0.6
1;1;1;1;2;1;1;3;1;3;1;1;0.6
1;1;1;1;3;1;2;3;1;2;1;1;0.6
1;1;1;1;2;1;2;3;1;2;1;1;0.6
1;1;1;1;3;1;1;3;1;2;1;1;0.6
1;1;1;1;2;1;1;3;1;2;1;1;0.6
3;3;2;1;3;1;2;1;2;3;1;2;0.7
3;3;2;1;3;1;2;1;2;3;1;1;0.7
3;3;2;1;3;1;2;1;1;3;1;2;0.7
3;3;2;1;3;1;2;1;1;3;1;1;0.7
3;3;2;1;3;2;2;1;2;3;1;2;0.7
3;3;2;1;3;2;2;1;2;3;1;1;0.7
3;3;2;1;3;2;2;1;1;3;1;2;0.7
3;3;2;1;3;2;2;1;1;3;1;1;0.7
3;3;2;1;3;3;2;1;2;3;1;2;0.7
3;3;2;1;3;3;2;1;2;3;1;1;0.7
3;3;2;1;3;3;2;1;1;3;1;2;0.7
3;3;2;1;3;3;2;1;1;3;1;1;0.7
3;3;2;1;3;4;2;1;2;3;1;2;0.7
3;3;2;1;3;4;2;1;2;3;1;1;0.7
3;3;2;1;3;4;2;1;1;3;1;2;0.7
3;3;2;1;3;4;2;1;1;3;1;1;0.7
1;3;3;1;1;1;2;1;1;2;1;1;0.8
1;3;3;1;1;1;2;1;1;1;1;1;0.8
1;3;3;1;3;1;2;1;1;2;1;1;0.8
1;3;3;1;3;1;2;1;1;1;1;1;0.8
1;2;3;1;1;1;2;1;1;2;1;1;0.8
1;2;3;1;1;1;2;1;1;1;1;1;0.8
1;2;3;1;3;1;2;1;1;2;1;1;0.8
1;2;3;1;3;1;2;1;1;1;1;1;0.8
1;1;1;3;1;1;1;1;2;1;1;2;0.9
2;1;1;3;1;1;1;1;2;1;1;2;0.9
1;1;1;3;1;1;2;1;2;1;1;2;0.9
2;1;1;3;1;1;2;1;2;1;1;2;0.9
3;3;1;1;1;1;2;1;2;3;1;2;1
3;3;1;1;1;1;2;1;2;3;1;2;1
3;3;1;1;3;1;2;1;2;3;1;2;1
3;3;1;1;3;1;2;1;2;3;1;2;1
3;3;1;1;1;1;2;3;2;3;1;2;1
3;3;1;1;1;1;2;3;2;3;1;2;1
3;3;1;1;3;1;2;3;2;3;1;2;1
3;3;1;1;3;1;2;3;2;3;1;2;1
3;3;1;2;1;1;2;1;2;3;1;2;1
3;3;1;2;1;1;2;1;2;3;1;2;1
3;3;1;2;3;1;2;1;2;3;1;2;1
3;3;1;2;3;1;2;1;2;3;1;2;1
3;3;1;2;1;1;2;3;2;3;1;2;1
3;3;1;2;1;1;2;3;2;3;1;2;1
3;3;1;2;3;1;2;3;2;3;1;2;1
3;3;1;2;3;1;2;3;2;3;1;2;1
